Date,Downloads
2022-06-03,0
2022-06-04,0
2022-06-05,0
2022-06-06,21
2022-06-07,18
2022-06-08,7
2022-06-09,12
2022-06-10,46
2022-06-11,3
2022-06-12,7
2022-06-13,58
2022-06-14,116
2022-06-15,29
2022-06-16,40
2022-06-17,9
2022-06-18,13
2022-06-19,11
2022-06-20,10
2022-06-21,15
2022-06-22,30
2022-06-23,2
2022-06-24,3
2022-06-25,22
2022-06-26,0
2022-06-27,549
2022-06-28,973
2022-06-29,458
2022-06-30,388
2022-07-01,364
2022-07-02,315
2022-07-03,323
2022-07-04,634
2022-07-05,534
2022-07-06,379
2022-07-07,385
2022-07-08,312
2022-07-09,315
2022-07-10,335
2022-07-11,177
2022-07-12,1198
2022-07-13,185
2022-07-13,5
2022-07-14,123
2022-07-15,154
2022-07-16,103
2022-07-17,58
2022-07-18,158
2022-07-19,54
2022-07-20,43
2022-07-21,34
2022-07-22,14
2022-07-23,43
2022-07-24,31
2022-07-25,43
2022-07-26,828
2022-07-27,216
2022-07-28,141
2022-07-29,53
2022-07-30,63
2022-07-31,88
2022-08-01,52
2022-08-02,27
2022-08-03,17
2022-08-04,41
2022-08-05,23
2022-08-06,67
2022-08-07,19
2022-08-08,31
2022-08-09,662
2022-08-10,109
2022-08-11,120
2022-08-12,112
2022-08-13,115
2022-08-14,44
2022-08-15,64
2022-08-16,116
2022-08-17,36
2022-08-18,43
2022-08-19,24
2022-08-20,38
2022-08-21,54
2022-08-22,43
2022-08-23,617
2022-08-24,888
2022-08-25,863
2022-08-26,817
2022-08-27,848
2022-08-28,778
2022-08-29,806
2022-08-30,968
2022-08-31,1283
2022-09-01,1149
2022-09-02,1193
2022-09-03,1256
2022-09-04,1282
2022-09-05,1229
2022-09-06,3260
2022-09-07,1477
2022-09-08,715
2022-09-09,450
2022-09-10,358
2022-09-11,356
2022-09-12,379
2022-09-13,251
2022-09-14,214
2022-09-15,157
2022-09-16,145
2022-09-17,89
2022-09-18,143
2022-09-19,136
2022-09-20,1532
2022-09-21,543
2022-09-22,304
2022-09-23,238
2022-09-24,161
2022-09-25,180
2022-09-26,187
2022-09-27,181
2022-09-28,128
2022-09-29,116
2022-09-30,133
2022-10-01,103
2022-10-02,81
2022-10-03,119
2022-10-04,1302
2022-10-05,340
2022-10-06,222
2022-10-07,174
2022-10-08,126
2022-10-09,102
2022-10-10,93
2022-10-11,110
2022-10-12,152
2022-10-13,84
2022-10-14,116
2022-10-15,65
2022-10-16,78
2022-10-17,83
2022-10-18,97
2022-10-19,91
2022-10-20,125
2022-10-21,61
2022-10-22,54
2022-10-23,41
2022-10-24,79
2022-10-25,1004
2022-10-26,277
2022-10-27,169
2022-10-28,154
2022-10-29,98
2022-10-30,88
2022-10-31,110
2022-11-01,108
2022-11-02,87
2022-11-03,92
2022-11-04,120
2022-11-05,1
2022-11-05,85
2022-11-06,2
2022-11-06,79
2022-11-07,84
2022-11-08,116
2022-11-09,105
2022-11-10,80
2022-11-11,78
2022-11-12,51
2022-11-12,1
2022-11-13,31
2022-11-14,76
2022-11-15,73
2022-11-16,66
2022-11-17,76
2022-11-18,37
2022-11-19,42
2022-11-20,70
2022-11-21,45
2022-11-22,39
2022-11-22,1
2022-11-22,5
2022-11-23,4
2022-11-23,57
2022-11-24,30
2022-11-25,40
2022-11-26,38
2022-11-27,33
2022-11-28,62
2022-11-29,784
2022-11-30,255
2022-12-01,148
2022-12-02,136
2022-12-03,116
2022-12-04,72
2022-12-05,116
2022-12-06,70
2022-12-07,89
2022-12-08,85
2022-12-09,55
2022-12-10,72
2022-12-11,70
2022-12-12,58
2022-12-13,928
2022-12-14,257
2022-12-15,126
2022-12-16,112
2022-12-17,2
2022-12-17,71
2022-12-18,75
2022-12-19,62
2022-12-20,85
2022-12-21,61
2022-12-22,54
2022-12-23,60
2022-12-24,46
2022-12-25,32
2022-12-26,55
2022-12-27,69
2022-12-28,57
2022-12-29,32
2022-12-30,53
2022-12-31,78
2023-01-01,37
2023-01-02,124
2023-01-03,43
2023-01-04,104
2023-01-05,49
2023-01-06,39
2023-01-07,35
2023-01-08,62
2023-01-09,62
2023-01-10,33
2023-01-11,57
2023-01-12,61
2023-01-13,74
2023-01-14,94
2023-01-15,64
2023-01-16,73
2023-01-17,926
2023-01-18,454
2023-01-19,242
2023-01-20,172
2023-01-21,173
2023-01-22,90
2023-01-23,146
2023-01-24,133
2023-01-25,173
2023-01-26,108
2023-01-27,68
2023-01-28,61
2023-01-29,75
2023-01-30,73
2023-01-31,614
2023-02-01,237
2023-02-02,188
2023-02-03,143
2023-02-04,112
2023-02-05,80
2023-02-06,100
2023-02-07,139
2023-02-08,113
2023-02-09,93
2023-02-10,109
2023-02-11,51
2023-02-12,89
2023-02-13,116
2023-02-14,2455
2023-02-15,1007
2023-02-16,744
2023-02-17,180
2023-02-18,394
2023-02-19,602
2023-02-20,715
2023-02-21,106
2023-02-22,525
2023-02-23,731
2023-02-24,672
2023-02-25,257
2023-02-26,165
2023-02-27,523
2023-02-28,1065
2023-03-01,570
2023-03-02,543
2023-03-03,507
2023-03-04,294
2023-03-05,196
2023-03-06,387
2023-03-07,424
2023-03-08,353
2023-03-09,331
2023-03-10,355
2023-03-11,252
2023-03-12,91
2023-03-12,262
2023-03-13,300
2023-03-14,742
2023-03-15,533
2023-03-16,678
2023-03-17,549
2023-03-18,518
2023-03-19,517
2023-03-20,672
2023-03-21,646
2023-03-22,605
2023-03-23,660
2023-03-24,655
2023-03-25,588
2023-03-26,735
2023-03-27,558
2023-03-28,2076
2023-03-29,1129
2023-03-30,735
2023-03-31,617
2023-04-01,533
2023-04-02,546
2023-04-03,516
2023-04-04,354
2023-04-05,341
2023-04-06,364
2023-04-07,232
2023-04-08,249
2023-04-09,3
2023-04-09,219
2023-04-10,275
2023-04-11,2211
2023-04-12,738
2023-04-13,423
2023-04-14,313
2023-04-15,189
2023-04-16,252
2023-04-17,229
2023-04-18,202
2023-04-19,162
2023-04-20,132
2023-04-21,95
2023-04-22,117
2023-04-23,121
2023-04-24,115
2023-04-25,1611
2023-04-26,638
2023-04-27,342
2023-04-28,259
2023-04-29,192
2023-04-30,195
2023-05-01,205
2023-05-02,195
2023-05-03,253
2023-05-04,174
2023-05-05,115
2023-05-06,78
2023-05-07,110
2023-05-08,166
2023-05-09,152
2023-05-10,166
2023-05-11,183
2023-05-12,328
2023-05-13,236
2023-05-14,209
2023-05-15,54
2023-05-15,259
2023-05-16,596
2023-05-17,819
2023-05-18,346
2023-05-19,326
2023-05-20,291
2023-05-21,319
2023-05-22,333
2023-05-22,17
2023-05-23,345
2023-05-23,1
2023-05-23,231
2023-05-24,382
2023-05-25,253
2023-05-26,68
2023-05-27,1
2023-05-27,3
2023-05-27,46
2023-05-28,70
2023-05-28,3
2023-05-28,2
2023-05-29,49
2023-05-30,101
2023-05-31,74
2023-06-01,77
2023-06-02,84
2023-06-03,60
2023-06-03,14
2023-06-03,3
2023-06-04,59
2023-06-05,84
2023-06-06,96
2023-06-07,14
2023-06-07,88
2023-06-08,94
2023-06-09,51
2023-06-10,41
2023-06-11,50
2023-06-12,94
2023-06-13,121
2023-06-14,117
2023-06-15,69
2023-06-16,53
2023-06-17,17
2023-06-18,56
2023-06-19,55
2023-06-20,36
2023-06-20,1
2023-06-21,60
2023-06-22,37
2023-06-23,50
2023-06-24,38
2023-06-25,33
2023-06-26,45
2023-06-27,30
2023-06-28,59
2023-06-29,57
2023-06-30,15
2023-07-01,38
2023-07-02,15
2023-07-03,42
2023-07-03,3
2023-07-03,3
2023-07-04,23
2023-07-05,41
2023-07-06,34
2023-07-07,50
2023-07-08,33
2023-07-09,23
2023-07-10,18
2023-07-11,18
2023-07-12,43
2023-07-13,33
2023-07-14,36
2023-07-15,26
2023-07-16,51
2023-07-17,2
2023-07-17,44
2023-07-18,27
2023-07-19,27
2023-07-20,24
2023-07-21,32
2023-07-22,26
2023-07-23,42
2023-07-24,37
2023-07-25,45
2023-07-26,51
2023-07-27,2
2023-07-27,30
2023-07-28,22
2023-07-29,48
2023-07-30,19
2023-07-31,30
2023-08-01,36
2023-08-02,22
2023-08-03,63
2023-08-03,2
2023-08-04,33
2023-08-05,29
2023-08-06,99
2023-08-07,3
2023-08-07,29
2023-08-08,41
2023-08-09,43
2023-08-10,66
2023-08-11,36
2023-08-12,41
2023-08-13,22
2023-08-14,27
2023-08-15,36
2023-08-16,43
2023-08-17,36
2023-08-18,33
2023-08-19,38
2023-08-20,31
2023-08-21,39
2023-08-22,998
2023-08-23,385
2023-08-24,256
2023-08-25,153
2023-08-26,93
2023-08-27,92
2023-08-28,107
2023-08-29,135
2023-08-30,108
2023-08-31,92
2023-09-01,73
2023-09-02,54
2023-09-03,52
2023-09-04,82
2023-09-05,1003
2023-09-06,376
2023-09-07,224
2023-09-08,170
2023-09-09,124
2023-09-10,112
2023-09-11,183
2023-09-12,130
2023-09-13,119
2023-09-14,108
2023-09-15,131
2023-09-16,36
2023-09-17,50
2023-09-18,93
2023-09-19,940
2023-09-20,363
2023-09-21,510
2023-09-22,487
2023-09-23,427
2023-09-24,478
2023-09-25,456
2023-09-26,429
2023-09-27,442
2023-09-28,101
2023-09-29,285
2023-09-30,325
2023-10-01,381
2023-10-02,402
2023-10-03,1237
2023-10-04,636
2023-10-05,584
2023-10-06,502
2023-10-07,91
2023-10-08,109
2023-10-09,154
2023-10-10,175
2023-10-11,102
2023-10-12,121
2023-10-13,71
2023-10-14,59
2023-10-15,49
2023-10-16,111
2023-10-17,967
2023-10-18,286
2023-10-19,226
2023-10-20,142
2023-10-21,162
2023-10-22,206
2023-10-23,242
2023-10-24,187
2023-10-25,125
2023-10-26,89
2023-10-27,63
2023-10-28,61
2023-10-29,51
2023-10-30,111
2023-10-31,684
2023-11-01,280
2023-11-02,219
2023-11-03,122
2023-11-04,121
2023-11-05,80
2023-11-06,161
2023-11-07,108
2023-11-08,106
2023-11-09,68
2023-11-10,770
2023-11-11,1653
2023-11-12,1885
2023-11-13,1942
2023-11-14,3470
2023-11-15,2417
2023-11-16,1824
2023-11-17,1321
2023-11-18,1818
2023-11-19,1879
2023-11-20,2028
2023-11-21,1930
2023-11-22,1924
2023-11-23,1524
2023-11-24,1416
2023-11-25,1188
2023-11-26,1287
2023-11-27,474
2023-11-28,2608
2023-11-29,1054
2023-11-30,692
2023-12-01,504
2023-12-02,426
2023-12-03,384
2023-12-04,467
2023-12-05,323
2023-12-06,349
2023-12-07,292
2023-12-08,295
2023-12-09,222
2023-12-10,231
2023-12-11,243
2023-12-12,2438
2023-12-13,1106
2023-12-14,725
2023-12-15,486
2023-12-16,399
2023-12-17,358
2023-12-18,458
2023-12-19,389
2023-12-20,318
2023-12-21,332
2023-12-22,242
2023-12-23,143
2023-12-24,233
2023-12-25,225
2023-12-26,154
2023-12-27,142
2023-12-28,111
2023-12-29,167
2023-12-30,125
2023-12-31,189
2024-01-01,129
2024-01-02,155
2024-01-03,140
2024-01-04,94
2024-01-05,119
2024-01-06,61
2024-01-07,77
2024-01-08,160
2024-01-09,95
2024-01-10,119
2024-01-11,103
2024-01-12,89
2024-01-13,68
2024-01-14,94
2024-01-15,94
2024-01-16,70
2024-01-17,92
2024-01-18,63
2024-01-19,72
2024-01-20,73
2024-01-21,51
2024-01-21,3
2024-01-22,83
2024-01-23,2056
2024-01-24,653
2024-01-25,434
2024-01-26,260
2024-01-27,177
2024-01-28,116
2024-01-29,147
2024-01-30,165
2024-01-31,164
2024-02-01,248
2024-02-02,117
2024-02-03,109
2024-02-04,99
2024-02-05,131
2024-02-06,114
2024-02-07,107
2024-02-08,78
2024-02-09,86
2024-02-10,116
2024-02-11,103
2024-02-12,108
2024-02-13,87
2024-02-14,120
2024-02-15,77
2024-02-16,80
2024-02-17,67
2024-02-18,39
2024-02-19,86
2024-02-20,74
2024-02-21,89
2024-02-22,102
2024-02-23,58
2024-02-24,45
2024-02-25,50
2024-02-26,71
2024-02-27,96
2024-02-28,59
2024-02-29,71
2024-03-01,56
2024-03-02,64
2024-03-03,32
2024-03-03,3
2024-03-04,50
2024-03-05,53
2024-03-06,50
2024-03-07,82
2024-03-08,42
2024-03-09,44
2024-03-10,52
2024-03-11,59
2024-03-12,76
2024-03-13,38
2024-03-14,49
2024-03-15,31
2024-03-16,63
2024-03-17,65
2024-03-18,65
2024-03-19,65
2024-03-20,44
2024-03-21,58
2024-03-22,60
2024-03-23,46
2024-03-24,32
2024-03-25,40
2024-03-26,62
2024-03-27,60
2024-03-28,69
2024-03-29,32
2024-03-30,46
2024-03-31,31
2024-04-01,75
2024-04-02,1562
2024-04-03,514
2024-04-04,388
2024-04-05,192
2024-04-06,22
2024-04-07,254
2024-04-08,105
2024-04-09,1587
2024-04-10,549
2024-04-11,332
2024-04-12,227
2024-04-13,186
2024-04-14,120
2024-04-15,182
2024-04-16,151
2024-04-17,156
2024-04-18,113
2024-04-19,117
2024-04-20,60
2024-04-21,82
2024-04-22,126
2024-04-23,1438
2024-04-24,524
2024-04-25,305
2024-04-26,217
2024-04-27,154
2024-04-28,101
2024-04-29,253
2024-04-30,192
2024-05-01,149
2024-05-02,180
2024-05-03,144
2024-05-04,85
2024-05-05,74
2024-05-06,123
2024-05-07,1605
2024-05-08,499
2024-05-09,239
2024-05-10,198
2024-05-11,196
2024-05-12,140
2024-05-13,136
2024-05-14,135
2024-05-15,162
2024-05-16,520
2024-05-17,1166
2024-05-18,1246
2024-05-19,865
2024-05-20,1706
2024-05-21,3996
2024-05-22,2149
2024-05-23,1257
2024-05-24,1129
2024-05-25,1204
2024-05-26,1133
2024-05-27,1259
2024-05-28,1287
2024-05-29,1178
2024-05-30,852
2024-05-31,834
2024-06-01,777
2024-06-02,786
2024-06-03,915
2024-06-04,4618
2024-06-05,2068
2024-06-06,1311
2024-06-07,1170
2024-06-08,1048
2024-06-09,958
2024-06-10,763
2024-06-11,518
2024-06-12,498
2024-06-13,421
2024-06-14,397
2024-06-15,417
2024-06-16,455
2024-06-17,458
2024-06-18,3207
2024-06-19,1057
2024-06-20,573
2024-06-21,407
2024-06-22,282
2024-06-23,280
2024-06-24,244
2024-06-25,202
2024-06-26,176
2024-06-27,191
