Date,Amount spent,Impressions,Link clicks,CTR (link click-through rate),CPM,CPC (link),On-Facebook leads,Cost per on-Facebook lead,Website conversions,Website conversion rate
"Jun 9, 2025",8.8,477,0,0,18.448637316561847,null,0,null,0,null
"Jun 8, 2025",20.5,907,3,0.0033076074972436605,22.601984564498345,6.833333333333333,2,10.25,0,0
"Jun 7, 2025",13.41,793,3,0.0037831021437578815,16.910466582597728,4.47,0,null,0,0
"Jun 6, 2025",15.51,712,2,0.0028089887640449437,21.78370786516854,7.755,0,null,0,0
"Jun 5, 2025",13.45,697,3,0.00430416068866571,19.29698708751793,4.483333333333333,0,null,0,0
"Jun 4, 2025",13.33,678,1,0.0014749262536873156,19.660766961651916,13.33,0,null,0,0
"Jun 3, 2025",14.84,712,5,0.007022471910112359,20.842696629213485,2.968,0,null,0,0
"Jun 2, 2025",15.25,746,1,0.0013404825737265416,20.44235924932976,15.25,0,null,0,0
"Jun 1, 2025",18.43,827,1,0.0012091898428053204,22.285368802902052,18.43,0,null,0,0
"May 31, 2025",11.48,516,1,0.001937984496124031,22.24806201550388,11.48,0,null,0,0
"May 30, 2025",12.9,564,2,0.0035460992907801418,22.872340425531917,6.45,0,null,0,0
"May 29, 2025",15.4,669,1,0.0014947683109118087,23.019431988041852,15.4,0,null,0,0
"May 28, 2025",17.85,840,0,0,21.25,null,0,null,1,null
"May 27, 2025",15.38,751,5,0.006657789613848202,20.479360852197072,3.076,1,15.38,0,0
"May 26, 2025",16.39,808,2,0.0024752475247524753,20.284653465346537,8.195,0,null,0,0
"May 25, 2025",44.04,1894,5,0.0026399155227032735,23.252375923970433,8.808,0,null,0,0
"May 24, 2025",39.59,1802,7,0.00388457269700333,21.970033296337405,5.655714285714287,0,null,0,0
"May 23, 2025",39.7,1860,2,0.001075268817204301,21.34408602150538,19.85,2,19.85,0,0
"May 22, 2025",36.93,1625,4,0.0024615384615384616,22.726153846153846,9.2325,0,null,0,0
"May 21, 2025",40.06,1664,3,0.0018028846153846155,24.074519230769234,13.353333333333333,0,null,0,0
"May 20, 2025",39.98,1569,5,0.0031867431485022306,25.481198215423834,7.9959999999999996,1,39.98,0,0
"May 19, 2025",41.87,1797,5,0.0027824151363383415,23.29994435169727,8.373999999999999,0,null,0,0
"May 18, 2025",41.18,1914,3,0.001567398119122257,21.515151515151516,13.726666666666667,0,null,0,0
"May 17, 2025",37.57,1724,6,0.0034802784222737818,21.792343387471,6.261666666666667,0,null,0,0
"May 16, 2025",36.64,1508,2,0.001326259946949602,24.29708222811671,18.32,0,null,0,0
"May 15, 2025",36.99,1526,3,0.001965923984272608,24.23984272608126,12.33,1,36.99,0,0
"May 14, 2025",28.48,1214,2,0.0016474464579901153,23.459637561779243,14.24,0,null,0,0
"May 13, 2025",32.69,1384,3,0.002167630057803468,23.619942196531788,10.896666666666667,0,null,0,0
"May 12, 2025",69.38,1965,5,0.002544529262086514,35.30788804071246,13.876,0,null,0,0
"Apr 26, 2025",0.11,1,0,0,110,null,0,null,0,null
"Apr 25, 2025",0.08,1,0,0,80,null,0,null,0,null
"Apr 24, 2025",0.15,2,0,0,75,null,0,null,0,null
"Apr 23, 2025",0.08,3,0,0,26.666666666666668,null,0,null,0,null
"Apr 22, 2025",0.95,10,0,0,95,null,0,null,0,null
"Apr 21, 2025",0.09,1,0,0,90,null,0,null,0,null
