Date,Amount spent,Impressions,Link clicks,CTR (link click-through rate),CPM,CPC (link),On-Facebook leads,Cost per on-Facebook lead,Website conversions,Frequency
"Jun 9, 2025",1206.73,69129,346,0.005005135326708038,17.456205065891304,3.487658959537572,23,52.466521739130435,129,null
"Jun 8, 2025",2374.07,147642,757,0.00512726730876038,16.079909510843798,3.1361558784676355,52,45.65519230769231,243,null
"Jun 7, 2025",2265.6800000000003,142247,765,0.005377969306909812,15.927787580757416,2.9616732026143793,51,44.42509803921569,258,null
"Jun 6, 2025",2143.19,131616,697,0.005295708728422077,16.283658521760273,3.074878048780488,48,44.649791666666665,254,null
"Jun 5, 2025",2187.3399999999997,133248,709,0.005320905379442843,16.415555955811715,3.0851057827926653,59,37.073559322033894,286,null
"Jun 4, 2025",2198.2,139885,668,0.004775351181327519,15.714336776637952,3.2907185628742512,62,35.45483870967742,247,null
"Jun 3, 2025",2201.92,141674,717,0.005060914493837966,15.54216017053235,3.0710181311018134,59,37.3206779661017,261,null
"Jun 2, 2025",2342.44,143800,658,0.004575799721835883,16.289568845618916,3.5599392097264437,49,47.80489795918368,247,null
"Jun 1, 2025",2330.9500000000003,163070,761,0.004666707548905378,14.29416814864782,3.063009198423128,56,41.62410714285715,242,null
"May 31, 2025",2210.3900000000003,138495,657,0.0047438535687208926,15.960070760677285,3.3643683409436838,47,47.029574468085116,205,null
"May 30, 2025",2118.2400000000002,130344,556,0.004265635549008777,16.25115080095747,3.809784172661871,54,39.226666666666674,192,null
"May 29, 2025",2167.37,103120,543,0.005265709852598914,21.017940263770363,3.9914732965009208,51,42.49745098039215,208,null
"May 28, 2025",2231.35,118028,570,0.004829362524146813,18.905259768868405,3.9146491228070173,46,48.50760869565217,227,null
"May 27, 2025",2260.1400000000003,137022,579,0.004225598808950387,16.4947234750624,3.9035233160621767,46,49.13347826086957,219,null
"May 26, 2025",2305.74,146372,641,0.004379252862569344,15.75260295684967,3.597098283931357,46,50.12478260869565,210,null
"May 25, 2025",2372.54,145671,682,0.004681782921789512,16.286975444666407,3.478797653958944,53,44.76490566037736,259,null
"May 24, 2025",2221.11,138242,590,0.004267878068893679,16.066824843390577,3.764593220338983,32,69.4096875,186,null
"May 23, 2025",2192.77,141150,559,0.00396032589443854,15.535033652143111,3.922665474060823,44,49.83568181818182,194,null
"May 22, 2025",2116.45,132841,522,0.003929509714621239,15.9322046657282,4.054501915708812,38,55.696052631578944,217,null
"May 21, 2025",2102.05,129408,579,0.004474221068249258,16.243586177052425,3.630483592400691,67,31.373880597014928,221,null
