week,year,mql_count
46,2016,27
1,2017,50
2,2017,51
3,2017,46
4,2017,38
22,2017,83
5,2017,67
6,2017,53
7,2017,51
23,2017,58
11,2017,57
40,2017,73
48,2016,14
50,2019,192
38,2019,184
45,2019,129
46,2019,122
47,2019,103
48,2019,111
51,2019,39
0,2020,35
1,2020,182
2,2020,155
3,2020,108
50,2018,48
16,2017,55
8,2017,56
9,2017,50
10,2017,53
12,2017,60
13,2017,50
14,2017,71
15,2017,62
17,2017,75
18,2017,44
19,2017,58
20,2017,54
21,2017,32
29,2017,82
28,2017,68
24,2017,55
25,2017,65
31,2017,66
26,2017,63
27,2017,68
30,2017,77
33,2017,74
32,2017,70
34,2017,69
35,2017,63
36,2017,71
38,2017,73
42,2017,84
44,2017,124
3,2018,153
4,2018,221
16,2018,55
5,2018,91
6,2018,72
7,2018,103
8,2018,81
9,2018,120
10,2018,91
17,2018,66
11,2018,75
20,2023,1709
14,2018,51
15,2018,63
18,2018,30
23,2018,125
37,2018,137
15,2019,91
49,2019,85
8,2020,130
6,2020,117
7,2020,138
15,2020,217
25,2021,355
45,2020,126
46,2020,205
47,2020,148
49,2020,173
50,2020,147
35,2021,705
29,2018,63
39,2017,83
46,2017,154
50,2017,101
0,2018,105
1,2018,97
12,2018,50
13,2018,40
19,2018,48
22,2018,47
25,2018,51
27,2018,50
28,2018,58
30,2018,60
31,2018,62
7,2019,57
10,2019,131
12,2019,102
23,2019,67
16,2025,2534
27,2019,96
30,2019,89
29,2019,132
33,2019,123
44,2019,167
13,2020,185
40,2020,120
17,2021,452
26,2021,353
29,2021,452
33,2021,949
34,2021,631
36,2021,721
7,2022,591
2,2024,852
27,2024,681
3,2022,707
4,2023,970
28,2021,430
40,2021,402
37,2017,100
41,2017,62
43,2017,70
45,2017,97
47,2017,65
48,2017,87
49,2017,96
51,2017,77
52,2017,55
2,2018,110
20,2018,45
21,2018,38
24,2018,46
26,2018,49
32,2018,52
33,2018,47
34,2018,37
35,2018,51
36,2018,64
38,2018,64
39,2018,56
40,2018,72
41,2018,69
42,2018,96
43,2018,43
37,2024,605
53,2017,7
21,2024,600
45,2018,60
47,2018,52
