Date,Consumer_Sentiment_Index()
"June 30, 2025",60.50
"May 31, 2025",52.20
"April 30, 2025",52.20
"March 31, 2025",57.00
"February 28, 2025",64.70
"January 31, 2025",71.70
"December 31, 2024",74.00
"November 30, 2024",71.80
"October 31, 2024",70.50
"September 30, 2024",70.10
"August 31, 2024",67.90
"July 31, 2024",66.40
"June 30, 2024",68.20
"May 31, 2024",69.10
"April 30, 2024",77.20
"March 31, 2024",79.40
"February 29, 2024",76.90
"January 31, 2024",79.00
"December 31, 2023",69.70
"November 30, 2023",61.30
"October 31, 2023",63.80
"September 30, 2023",67.80
"August 31, 2023",69.40
"July 31, 2023",71.50
"June 30, 2023",64.20
