Day,Week,Account name,Customer ID,Currency code,Cost,Clicks,Impr.
2011-10-13,2011-10-10,Impact Radius,278-804-3504,USD,0,0,0
2011-10-18,2011-10-17,Impact Radius,278-804-3504,USD,580.00,365,"276,820"
2011-10-19,2011-10-17,Impact Radius,278-804-3504,USD,537.27,122,"324,325"
2011-10-20,2011-10-17,Impact Radius,278-804-3504,USD,645.76,140,"330,915"
2011-10-21,2011-10-17,Impact Radius,278-804-3504,USD,95.77,21,"3,520"
2011-10-22,2011-10-17,Impact Radius,278-804-3504,USD,36.91,10,"2,962"
2011-10-23,2011-10-17,Impact Radius,278-804-3504,USD,162.83,37,"3,826"
2011-10-24,2011-10-24,Impact Radius,278-804-3504,USD,230.13,49,"6,227"
2011-10-25,2011-10-24,Impact Radius,278-804-3504,USD,712.20,134,"11,000"
2011-10-26,2011-10-24,Impact Radius,278-804-3504,USD,286.56,48,"5,821"
2011-10-27,2011-10-24,Impact Radius,278-804-3504,USD,337.99,75,"5,895"
2011-10-28,2011-10-24,Impact Radius,278-804-3504,USD,413.29,99,"7,117"
2011-10-29,2011-10-24,Impact Radius,278-804-3504,USD,250.28,51,"3,298"
2011-10-30,2011-10-24,Impact Radius,278-804-3504,USD,108.40,21,790
2011-10-31,2011-10-31,Impact Radius,278-804-3504,USD,128.67,32,"1,467"
2011-11-01,2011-10-31,Impact Radius,278-804-3504,USD,152.27,26,"1,620"
2011-11-02,2011-10-31,Impact Radius,278-804-3504,USD,218.77,29,"1,502"
2011-11-03,2011-10-31,Impact Radius,278-804-3504,USD,201.55,31,"1,398"
2011-11-04,2011-10-31,Impact Radius,278-804-3504,USD,190.79,27,"1,416"
2011-11-05,2011-10-31,Impact Radius,278-804-3504,USD,95.65,18,802
2011-11-06,2011-10-31,Impact Radius,278-804-3504,USD,192.82,26,"1,025"
2011-11-07,2011-11-07,Impact Radius,278-804-3504,USD,204.90,30,"1,402"
2011-11-08,2011-11-07,Impact Radius,278-804-3504,USD,210.73,38,"1,722"
2011-11-09,2011-11-07,Impact Radius,278-804-3504,USD,185.75,29,"1,618"
2011-11-10,2011-11-07,Impact Radius,278-804-3504,USD,188.25,31,"1,298"
2011-11-11,2011-11-07,Impact Radius,278-804-3504,USD,147.23,28,"1,498"
2011-11-12,2011-11-07,Impact Radius,278-804-3504,USD,230.67,35,"1,004"
2011-11-13,2011-11-07,Impact Radius,278-804-3504,USD,109.36,22,764
2011-11-14,2011-11-14,Impact Radius,278-804-3504,USD,214.55,36,"1,522"
2011-11-15,2011-11-14,Impact Radius,278-804-3504,USD,315.97,49,"1,604"
2011-11-16,2011-11-14,Impact Radius,278-804-3504,USD,260.73,60,"2,024"
2011-11-17,2011-11-14,Impact Radius,278-804-3504,USD,222.31,34,"1,531"
2011-11-18,2011-11-14,Impact Radius,278-804-3504,USD,113.54,17,"1,289"
2011-11-19,2011-11-14,Impact Radius,278-804-3504,USD,91.91,14,647
2011-11-20,2011-11-14,Impact Radius,278-804-3504,USD,122.47,19,912
