Status,QTR,Vertical ,Month,TYPE,Launch date,Vendor ,Publication (see Audience breakdown tab for details),Channel,Cost,Cost_MMM,Date_ MMM
Complete,Q1,Marketing,March,Lead gen campaign,3/3/2025,Morning Brew,Marketing Brew,Newsletter,,$1.00,3/3/2025
Complete,Q1,Marketing,March,Lead gen campaign,2/15/2025,PharosIQ,PharosIS,Lead gen,"$200,000.00","$200,000.00",2/15/2025
Complete,Q1,Finserv,March,Lead gen campaign,3/10/2025,Industry dive,Banking Dive,Newsletter,"$7,000.00","$7,000.00",3/10/2025
Complete,Q1,Retail,March,Lead gen campaign,3/18/2025,Industry dive,Retail Dive,Eblast,"$8,000.00","$8,000.00",3/18/2025
Complete,Q1,Marketing,March,Lead gen campaign,3/18/2025,Workweek,Marketing Millenials,Newsletter ad,"$11,711.00","$11,711.00",3/18/2025
Complete,Q1,Marketing,March,Lead gen campaign,3/21/2025,Workweek,Go-to-Millions,Newsletter ad,"$7,063.00","$7,063.00",3/21/2025
Complete,Q1,Marketing,February,List upload,TBA,Smartbrief,Smartbrief,Lead gen,"$50,000.00","$50,000.00",3/15/2025
,,,,,,,,,,"$9,881.00",2/4/2025
Complete,Q1,Marketing,February,List upload,2/4 - 2/14/2025,Morning Brew,Marketing Brew,Survey,"$19,762.00","$9,881.00",2/14/2025
Complete,Q1,Finserv,February,Lead gen campaign,2/4/2025,Industry dive,Banking Dive,Eblast,"$7,500.00","$7,500.00",2/4/2025
Complete,Q1,Marketing,February,Lead gen campaign,2/2/2025,Workweek,Sharma (DTC),Newsletter ad,"$18,600.00","$18,600.00",2/2/2025
Complete,Q1,Marketing,February,Lead gen campaign,2/5/2025,Workweek,Go-to-Millions,Newsletter ad,"$7,063.00","$7,063.00",2/5/2025
Complete,Q1,Marketing,February,Lead gen campaign,2/9/2025,Workweek,Marketing Millenials,Newsletter ad,"$11,711.00","$11,711.00",2/9/2025
Complete,Q1,Marketing,April,,4/14/2025,Morning Brew,Marketing Brew,Custom article,"$11,858.00","$5,929.00",4/14/2025
Complete,Q1,Marketing,April,,4/2/2025,Morning Brew,Marketing Brew,Newsletter,,"$5,929.00",4/2/2025
Complete,Q1,Retail,April,,4/7/2025,Industry dive,Retail Dive,Newsletter,"$7,500.00","$7,500.00",4/7/2025
Complete,Q1,Marketing,April,,4/22/2025,Industry dive,Marketing Dive,Eblast,"$12,000.00","$12,000.00",4/22/2025
Complete,Q1,Marketing,April,,4/6/2025,Workweek,Sharma,Newsletter ad,"$18,600.00","$18,600.00",4/6/2025
Complete,Q1,Marketing,April,,4/27/2025,Workweek,Marketing Millenials,Newsletter ad,"$13,346.00","$13,346.00",4/27/2025
Complete,Q2,Marketing,May,,5/5/2025,Morning Brew,Tech Brew,Newsletter,,,5/5/2025
Complete,Q2,Marketing,May,,5/29/2025,Workweek,Go-to-Millions,Eblast,"$7,500.00","$7,500.00",5/29/2025
Complete,Q2,Marketing,May,,5/12/2025,Industry dive,Marketing Dive,Newsletter,"$11,000.00","$11,000.00",5/12/2025
Complete,Q2,Marketing,May,,5/20/2025,Workweek,Go-to-Millions,Newsletter ad,"$9,488.00","$9,488.00",5/20/2025
Complete,Q2,Marketing,May,,5/21/2025,Workweek,Marketing Millenials,Newsletter ad,"$13,346.00","$13,346.00",5/21/2025
Complete,Q1,All,March,,3/21,Morning Brew,Morning Brew,Newsletter,"$42,637.00","$42,637.00",3/21/2025
Complete,Q1,Retail,April,,4/8,Industry Dive,Retail Dive,Newsletter,"$10,500.00","$10,500.00",4/8/2025
Complete,Q2,Retail,May,,5/17/2024,DC360,Retail research report,Downloadable report,"$7,950.00","$7,950.00",5/17/2024
Complete,Q2,All,July,,7/2024,Morning Brew,Marketing Brew,Newsletter,"$131,500.00","$131,500.00",7/1/2024
Complete,Q2,Retail,July,,7/2024,Morning Brew,Retail Brew,Newsletter,"$72,500.00","$72,500.00",7/1/2024
Complete,Q2,Retail,July,,7/19/2024,DC360,Retail top 1000,Downloadable report,"$7,950.00","$7,950.00",7/19/2024
Complete,Q3,All,September,,9/5/2024,Morning Brew,Morning Brew,Newsletter,"$42,637.00","$42,637.00",9/5/2024
Complete,Q3,Finserv,September,,9/19/2024,Industry Dive,Banking Dive,Email,"$5,750.00","$5,750.00",9/19/2024
In progress,Q3,All,September,,9/20/2024,,Marketing Millenial Podcast,,"$30,000.00","$30,000.00",9/20/2024
Complete,Q3,All,October,,10/15/2024,Industry Dive,Marketing,Webinar,"$33,000.00","$33,000.00",10/15/2024
Complete,Q3,Social Media,,,9/10,Industry Dive,Social Media Dive,,,$1.00,9/10/2024
Complete,Q3,Q3,October,,10/1/2024,Marketing examined,Marketing examined,Multi,,$1.00,10/1/2024
Complete,Q3,All,October,,10/2/2024,Stacked Marketer,Stacked Marketer,,"$3,000.00","$3,000.00",10/2/2024
Complete,Q3,Retail,October,,10/11/2024,DC360,Social impact marketing role in B2B and retail,Downloadable report,"$7,950.00","$7,950.00",10/11/2024
Complete,Q3,All,October,,10/15/2024,Stacked Marketer,Stacked Marketer,,"$1,666.00","$1,666.00",10/15/2024
Complete,Q3,All,October,,10/20/2024,Growth Hacks,Growth Hacks,Multi,,$1.00,10/20/2024
Complete,Q3,All,October,,10/22/2024,Why We Buy,Why We Buy,Multi,"$10,000.00","$10,000.00",10/22/2024
Complete,Q3,All,October,,10/24/2024,Demand Curve,Demand Curve,,"$4,000.00","$4,000.00",10/24/2024
Complete,Q3,All,October,,10/30/2024,Stacked Marketer,Stacked Marketer,,"$3,000.00","$3,000.00",10/30/2024
,,,,,,,"Marketing Millenial, Sharma, Go-to-Millions",,,"$10,333.00",10/3/2024
,,,,,,,,,,"$10,333.00",10/10/2024
,,,,,,,,,,"$10,333.00",10/17/2024
,,,,,,,,,,"$10,333.00",10/24/2024
,,,,,,,,,,"$10,333.00",10/31/2024
Complete,Q3,All,October,,10/3/2024 - 11/7/2024,,"Marketing Millenial, Sharma, Go-to-Millions",,"$62,000.00","$10,333.00",11/7/2024
Complete,Q3,Retail,October,,TBA,Morning Brew,Retail Brew,Newsletter,"$42,637.00","$42,637.00",10/1/2024
Complete,Q4,Retail,November,,11/1/2024,DC360,Leading Vendors to top 1000,Downloadable report,"$7,950.00","$7,950.00",11/1/2024
Complete,Q4,All,November,,11/11/2024,Stacked Marketer,Stacked Marketer,,"$1,666.00","$1,666.00",11/11/2024
Complete,Q4,All,November,,12/4/2024,Stacked Marketer,Stacked Marketer,,"$3,000.00","$3,000.00",12/4/2024
Complete,Q4,All,December,,12/3/2024,Demand Curve,Demand Curve,,"$4,000.00","$4,000.00",12/3/2024
Complete,Q4,All,December,,12/4/2024,Stacked Marketer,Stacked Marketer,,"$3,000.00","$3,000.00",12/4/2024
Complete,Q4,All,December,,12/12/2024,Stacked Marketer,Stacked Marketer,,"$1,666.00","$1,666.00",12/12/2024
Complete,Q3,TAM,August,,8/15/2024,PharosIQ,PharosIQ,"Conversational email

","$25,000.00","$25,000.00",8/15/2024
,,,,,,,,,,"$11,000.00",3/18/2024
,,,,,,,,,,"$11,000.00",3/20/2024
Complete,Q1,Retail,March,,"3/18/2024, 3/20/2024, 3/22/2024",Morning Brew,Retail Brew,Newsletter,"$33,000.00","$11,000.00",3/22/2024
,,,,,,,,,,"$21,319.00",3/8/2024
Complete,Q1,Retail,March,,3/8/2024 + 3/14/2024,Morning Brew,Retail Brew,Newsletter,"$42,637.00","$21,319.00",3/14/2024
,,,,,,,,,,"$9,000.00",4/11/2024
Complete,Q1,Retail,April,,4/11/2024 + 6/4,Industry Dive,Retail Dive,Email (x2),"$18,000.00","$9,000.00",6/4/2024
,,,,,,Morning Brew,Marketing Brew,Newsletter,,$1.00,4/8/2024
Complete,Q1,Marketing,April,,4/8 + 4/10,Morning Brew,Marketing Brew,Newsletter,,$1.00,4/10/2024
