Date (ISO Year Week),Country/Territory,Cost
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Belgium,7.78
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Portugal,41.57
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Israel,125.02
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Sweden,19.64
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Germany,701.942219
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Iceland,1.74
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Norway,16.48
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Netherlands,58.89
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",France,245.11
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Canada,7050.965741
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Spain,76.33
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Austria,4.52
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Ireland,27.16
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",United Kingdom,2966.022526
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Denmark,5.18
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Finland,14.64
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Italy,362.35
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",United States,48871.79024
"Sep 9, 2024 to Sep 15, 2024 (Week 37)",Switzerland,34.02
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",France,184.63
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",South Africa,1009.49
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Japan,31.12
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Italy,205.87
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Thailand,57.35
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Germany,191
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Indonesia,763.09
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Singapore,78.92
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Sweden,135.96
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Ireland,93.5
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Türkiye,139.9
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",United Kingdom,950.42
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Philippines,492.51
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Norway,58.48
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",United States,7709.01
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Canada,1108.83
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Malaysia,244.08
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Vietnam,163.68
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Spain,127.33
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Finland,31.01
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Poland,79.73
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Switzerland,103.63
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",Australia,281.61
"Sep 6, 2021 to Sep 12, 2021 (Week 36)",New Zealand,87.59
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Switzerland,90.54
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Sweden,230.18
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",South Africa,593.91
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Ireland,116.35
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Thailand,13.11
"Sep 5, 2022 to Sep 11, 2022 (Week 36)",Malaysia,39.36
