date,week,year,mql_count
2017-01-11,2,2017,5
2017-06-01,22,2017,9
2017-02-13,7,2017,2
2017-06-03,22,2017,1
2017-06-04,23,2017,1
2017-03-15,11,2017,4
2017-10-04,40,2017,8
2019-11-11,45,2019,15
2019-11-12,45,2019,16
2019-11-25,47,2019,16
2019-11-28,47,2019,4
2019-12-04,48,2019,10
2019-12-21,50,2019,3
2020-01-04,0,2020,7
2017-02-21,8,2017,4
2017-02-28,9,2017,1
2017-03-04,9,2017,1
2017-03-10,10,2017,2
2017-03-14,11,2017,4
2017-03-22,12,2017,2
2017-03-23,12,2017,4
2017-03-25,12,2017,1
2017-03-28,13,2017,2
2017-03-29,13,2017,2
2017-04-03,14,2017,6
2017-04-08,14,2017,4
2017-04-11,15,2017,1
2017-04-13,15,2017,5
2017-04-14,15,2017,5
2017-04-20,16,2017,3
2017-05-02,18,2017,4
2017-05-07,19,2017,1
2017-05-08,19,2017,7
2017-05-09,19,2017,4
2017-05-12,19,2017,3
2017-05-29,22,2017,3
2017-06-10,23,2017,3
2017-06-13,24,2017,1
2017-06-16,24,2017,4
2017-06-19,25,2017,8
2017-06-20,25,2017,3
2017-08-04,31,2017,5
2017-06-27,26,2017,4
2017-06-29,26,2017,4
2017-07-06,27,2017,6
2017-07-07,27,2017,3
2017-07-08,27,2017,2
2017-07-15,28,2017,3
2017-07-18,29,2017,4
2017-07-20,29,2017,5
2017-07-30,31,2017,3
2017-08-02,31,2017,3
2017-08-09,32,2017,7
2017-08-15,33,2017,9
2017-08-16,33,2017,10
2017-08-17,33,2017,9
2017-08-22,34,2017,6
2017-08-24,34,2017,3
2017-08-28,35,2017,4
2017-09-01,35,2017,6
2017-09-04,36,2017,5
2017-09-05,36,2017,7
2018-01-30,4,2018,111
2018-04-25,16,2018,3
2018-02-01,4,2018,5
2018-02-04,5,2018,2
2018-02-05,5,2018,7
2018-02-06,5,2018,7
2018-02-07,5,2018,9
2018-02-08,5,2018,9
2018-02-11,6,2018,8
2018-02-16,6,2018,2
2018-02-17,6,2018,2
2018-02-19,7,2018,9
2018-02-21,7,2018,6
2018-02-23,7,2018,17
2018-02-25,8,2018,1
2018-03-01,8,2018,4
2018-03-06,9,2018,31
2018-03-07,9,2018,7
2018-03-16,10,2018,5
2018-04-12,14,2018,3
2018-05-04,17,2018,9
2018-06-11,23,2018,19
2019-12-17,50,2019,7
2017-07-21,29,2017,1
2017-07-26,30,2017,1
2017-09-19,38,2017,5
2017-09-28,39,2017,9
2017-11-13,46,2017,40
2017-12-12,50,2017,13
2018-01-01,0,2018,4
