,,,,,
Date,US_durable_goods,,,,
"April 30, 2025",-6.30%,,,,
"March 31, 2025",9.36%,,,,
"February 28, 2025",0.89%,,,,
"January 31, 2025",3.34%,,,,
"December 31, 2024",-1.78%,,,,
"November 30, 2024",-2.00%,,,,
"October 31, 2024",0.79%,,,,
"September 30, 2024",-0.40%,,,,
"August 31, 2024",-0.89%,,,,
"July 31, 2024",9.87%,,,,
"June 30, 2024",-6.91%,,,,
"May 31, 2024",0.12%,,,,
"April 30, 2024",0.22%,,,,
"March 31, 2024",2.19%,,,,
"February 29, 2024",0.70%,,,,
"January 31, 2024",-6.95%,,,,
"December 31, 2023",-0.29%,,,,
