Email Name,Sent,Delivered,% Delivered,Hard Bounced,Soft Bounced,Pending,Opened,% Opened,Clicked Email,% Clicked Email,Clicked to Opened Ratio,Unsubscribed,% Unsubscribed,First Activity (PDT),Last Activity (PDT),Include,days_between
6Sense-Email-Send | 20240703.6Sense-7-3-Email,"8,262","7,772",94.10%,131,359,0,"1,121",14.40%,110,1.40%,9.80%,20,0.30%,"Jul 3, 2024 10:00 AM","Apr 14, 2025 5:28 PM",0,285
6Sense-Email-Send | 20240716 - Resend.6Sense-7-16-Email-Resend,"6,128","5,779",94.30%,41,308,0,281,4.90%,23,0.40%,8.20%,6,0.10%,"Jul 16, 2024 10:00 AM","Mar 12, 2025 11:16 PM",0,240
Blog and Newsletter Subscriber.[New] Thank you for subscribing,893,671,75.10%,73,149,0,419,62.40%,106,15.80%,25.30%,7,1.00%,"Nov 6, 2023 3:17 PM","Jun 6, 2025 12:08 PM",0,578
Blog and Newsletter Subscriber.Thank you for subscribing,458,396,86.50%,16,46,0,231,58.30%,61,15.40%,26.40%,0,0.00%,"Jun 6, 2023 5:31 AM","Jun 2, 2025 3:22 PM",0,727
CD | 2024 Southeast Asia eCommerce Influencer Marketing Report-2024-southeast-asia-ecomm-influencer-marketing-report-infl-rrt-crb-ed-sea.Content download follow-up v 2024,110,97,88.20%,8,5,0,44,45.40%,13,13.40%,29.50%,0,0.00%,"Oct 16, 2024 10:06 AM","May 27, 2025 6:13 PM",0,223
CD | 5 rules to win partner relationships-PARM-IGC-APAC-0722.Content download follow-up,1,1,100.00%,0,0,0,0,0.00%,0,0.00%,,0,0.00%,"Jul 15, 2023 10:44 AM","Jul 15, 2023 10:44 AM",0,0
CD | 5 steps to influencer marketing-INFL-IGC-0722.Content download follow-up,2,2,100.00%,0,0,0,2,100.00%,0,0.00%,,0,0.00%,"Aug 24, 2023 3:30 AM","Oct 3, 2023 8:51 AM",0,40
CD | AdWeek - The Secrets to Thriving Creator Brand Collabs-INFL-RRT-NAM-0623.Content download follow-up v 2023,394,362,91.90%,20,12,0,190,52.50%,35,9.70%,18.40%,7,1.90%,"Jul 11, 2023 10:23 AM","Mar 30, 2025 8:22 PM",0,628
CD | Affiliate marketing: How to give your businesses the strategic edge.Content download follow-up v 2024,12,11,91.70%,1,0,0,6,54.50%,2,18.20%,33.30%,0,0.00%,"Oct 23, 2024 7:27 PM","May 12, 2025 1:59 PM",0,201
CD | ANZ Customer Video Testimonials-AFFA-CTV-APAC-1023.Content download follow-up,1,1,100.00%,0,0,0,1,100.00%,0,0.00%,,0,0.00%,"Oct 23, 2023 12:31 PM","Oct 23, 2023 12:35 PM",0,0
