folder_name,name,f0_
FY24 Event-Hosted US/Canada,Event-Hosted | PC - 20241028 | Las Vegas VIP Dinner,1
FY26 Event-Hosted US/Canada,Event-Hosted | PC - 20250804 | Affiliate Summit East (ASE) Happy Hour,1
FY25 Event-Hosted US/Canada,Event-Hosted | 2024-06-17 | impact.com's Partnerships Experience 2024 (iPX24),1
FY25 Event-Hosted US/Canada,Event-Hosted | PC - 20241009 | Partnerships IRL: Brooklyn,1
FY24 Event-Hosted US/Canada,Event-Hosted | PC - 20240115 | PI: Las Vegas,1
FY25 Event-Hosted US/Canada,Event-Hosted | PC - 20240618 | iPX2024 Livestream,1
FY26 Event-Hosted US/Canada,Event-Hosted | 2025-06-09 | impact.com's Partnerships Experience 2025 (iPX25),1
FY25 Event-Hosted US/Canada,Event-Hosted | 20240410 | Partnerships IRL - Los Angeles,1
FY24 Event-Hosted US/Canada,Event-Hosted | PC - 20240116 | Topgolf Happy Hour at ASW 2024,1
FY26 Event-Hosted US/Canada,Event-Hosted | PC - 20250204 | TopGolf Happy Hour,1
FY25 Event-Hosted US/Canada,Event-Hosted | PC - 20240226 | impact Palm Springs Happy Hour,1
FY25 Event-Hosted US/Canada,Event-Hosted | PC - 20240508 | NYC VIP Happy Hour,1
FY25 Event-Hosted US/Canada,Event-Hosted | PC - 20240729 | ASE Happy Hour,1
FY26 Event-Hosted US/Canada,Event-Hosted | PC - 20250326 | VIP Dinner in Boston,1
FY26 Event-Hosted US/Canada,Event-Hosted | PC - 20251007 | Partnership Titans,1
FY26 Event-Hosted US/Canada,Event-Hosted | PC - 20250204 | The Future of impact for Publishers,1
FY25 Event-Hosted US/Canada,Event-Hosted | PC - 20240618 | iPX2024 VIP Breakfast,1
