,domainsub1,ga4_sessions,Include
0,,3572169,Yes
1,partners,440737,Yes
2,affiliate-marketing,283069,Yes
3,request-a-demo-for-brands,165854,Yes
4,integrated-platform-prices,118149,Yes
5,get-started,91777,Yes
6,careers,86551,No
7,contact,80094,No
8,influencer,63803,Yes
9,about,61852,Yes
10,partnership-management-platform,49136,Yes
11,influencer-marketing,38249,Yes
12,creator,35706,Yes
13,agency-partner-program,26209,Yes
14,privacy-policy,25628,Yes
15,referral-partner-program,25597,Yes
16,partnerships-experience,21914,Yes
17,partnerships,20977,Yes
18,lp,20776,Yes
19,insights,15398,Yes
20,affiliate,15264,Yes
21,advocate,12213,Yes
22,ebooks,10404,Yes
23,case-studies,9605,Yes
24,fr,7743,Yes
25,blog,7067,Yes
26,request-a-demo-thank-you,7029,Yes
27,de,6615,Yes
28,discover-recruit,6385,Yes
29,research-reports,6145,Yes
30,news,6040,Yes
31,technology-partners,6002,Yes
32,saas-partnership-marketing,5839,Yes
33,marketing-intelligence,5150,Yes
34,commerce-content,4810,Yes
35,customer-referral-marketing,4465,Yes
36,partnership-contract-pay,3758,Yes
37,services,3690,Yes
38,terms-of-use,3371,No
39,events,3121,Yes
40,mobile,2857,Yes
41,business-development,2806,Yes
42,press-releases,2750,Yes
43,request-a-demo-for-publishers,2669,Yes
44,partnership-track,2530,Yes
45,videos,2376,Yes
46,ja,2009,Yes
47,marketing-analysts,1970,Yes
48,protect-monitor,1937,Yes
49,customer-success-stories,1762,Yes
50,pxa,1600,Yes
51,partnerships-experience-academy,1579,Yes
52,kits-worksheets,1555,Yes
53,glossary,1401,Yes
54,podcasts,1359,No
55,infographics,1271,Yes
56,partnership-economy,1216,Yes
57,referral,1019,Yes
58,?utm_source=signaturesatori&utm_medium=email_signature&utm_campaign=general_signature,947,No
59,manage-engage,840,Yes
60,optimize-insights,819,Yes
61,creator-edit,592,Yes
62,security-and-privacy,574,Yes
63,search,518,Yes
64,?utm_content=body-above_cta-text_impact_home&utm_medium=email&utm_source=transactional&utm_term=emea_publishers_transactional_accountnotice_resellerexlfrde&utm_campaign=30-05-25_emea_publishers_transactional_account-notice_reseller-exl-fr-de,516,No
65,seller,480,Yes
66,web-design-system-modules,438,Yes
67,?utm_source=community&utm_campaign=thu_global_pubs_reattribution_issue2_23052024&utm_medium=email&utm_content=cta-logo&utm_term=reattribution_issue2_brands_list&utm_id=368479,358,No
68,agency-coaching-program,318,Yes
69,?utm_source=community&utm_campaign=tue_global_pubs_action_processing_07052024&utm_medium=email&utm_content=cta-logo&utm_term=master-publisher_list&utm_id=367638,279,No
70,find-influencers,279,Yes
71,shopify-plans,273,Maybe
72,onesheets,267,Yes
73,saasquatch,240,Yes
74,warc-research-report,230,Yes
75,the-partnership-ecosystem-ig-pc-ed,222,Yes
76,?utm_content=header_logo_impact_home&utm_medium=email&utm_source=transactional&utm_term=emea_publishers_transactional_accountnotice_resellerexlfrde&utm_campaign=30-05-25_emea_publishers_transactional_account-notice_reseller-exl-fr-de,221,No
77,?adid=aw203ufxb5yesqz6v4w18,221,No
78,?utm_source=chatgpt.com,185,No
79,squarespace-plans,160,No
80,?utm_source=facacusub-newsletter.beehiiv.com&utm_medium=newsletter&utm_campaign=sidee-ayaan-ku-affiliate-marketing-uga-sameeyay-15k,159,No
81,?utm_source=signaturesatori&utm_medium=email_signature&utm_campaign=incrementality-playbook2,148,No
82,?irgwc=1,148,No
83,it,148,No
84,?_gl=xxxxxxxxxxxxxxxxxx&gclid=CjwKCAjwiezABhBZEiwAEbTPGO7a5gpGcJRIuLKLq6cOi4mt20HPJYPVB7FZz9Z6ozM7_EhT9EgpghoCpxMQAvD_BwE,148,No
85,diamond-agency-audit,148,No
86,insights-search,119,No
87,?irgwc=1&clickid=3lUwUt0hWxyKUgrSayWAnT6DUkHS7LwfIXvF0I0,119,No
88,?irgwc=1&irclickid=1QuSOsQy%3AxyPWVz2qZXHrXHMUkCz3KTHtXyHV80,119,No
89,?irclickid=WjKSx5RpNxyKU04XKz2CIwXFUkCWZ3Up1RdEQc0&sharedid=https%3A%2F%2Fwww.yieldkit.com%2F&irpid=2334778&utm_source=impact.com&utm_medium=referral&utm_campaign=partner-program&irgwc=1,119,No
90,?utm_source=community&utm_campaign=thu_global_pubs_reattribution_issue2_23052024&utm_medium=email&utm_content=cta-header&utm_term=reattribution_issue2_brands_list&utm_id=368479,119,No
91,?utm_source=transactional&utm_campaign=mon_global_publisher_phishing_communication_22042024&utm_medium=email&utm_content=cta-text&utm_term=master_brands_list&utm_id=365551,119,No
