lead_mql_date,cnt_all,cnt_Linkendin
2025-04-22,220,21
2024-07-12,59,38
2024-09-20,30,20
2024-05-27,44,38
2024-04-01,37,33
2024-04-02,20,16
2024-04-04,27,21
2024-04-07,19,13
2024-04-10,44,31
2024-04-12,34,24
2024-04-15,92,59
2024-04-17,28,24
2024-04-21,19,13
2024-04-27,19,14
2024-04-29,30,26
2024-05-07,119,107
2024-05-10,28,20
2024-05-16,67,52
2024-05-26,13,8
2024-05-29,25,21
2024-06-05,28,21
2024-11-21,114,85
2024-06-18,45,22
2024-06-19,72,57
2024-06-25,72,59
2024-11-19,22,13
2024-07-08,33,27
2024-07-09,151,116
2024-07-11,28,12
2024-07-22,58,43
2024-07-28,21,15
2024-08-05,35,16
2024-08-14,41,27
2024-08-22,60,38
2024-09-09,29,21
2024-09-02,21,14
2024-09-03,57,43
2024-09-04,58,45
2024-09-11,30,23
2024-09-24,32,20
2024-09-26,41,32
2024-09-29,28,8
2024-10-07,25,12
2024-10-08,17,6
2024-10-16,79,28
2024-10-25,47,41
2024-10-30,22,19
2024-11-05,47,34
2024-11-06,123,100
2024-11-10,24,20
2024-11-14,86,60
2024-11-20,26,20
2024-11-23,20,13
2024-11-27,63,50
2024-11-29,16,11
2024-12-03,85,66
2024-12-06,31,23
2024-12-11,50,39
2024-12-15,26,11
2024-12-16,35,19
2024-12-22,16,12
2024-12-26,18,14
2024-12-29,13,7
2024-12-31,21,18
2025-01-08,68,49
2025-05-21,9,8
2025-01-11,26,19
2025-01-16,82,63
2025-01-24,50,34
2025-01-25,35,19
2025-01-27,36,30
2025-01-29,39,28
2025-01-30,60,39
2025-02-02,34,21
2025-02-03,48,22
2025-02-06,76,33
2025-02-12,19,0
2025-02-13,20,3
2025-02-17,9,0
2025-02-26,14,0
2025-02-28,15,0
2025-03-02,4,0
2025-03-05,14,0
2025-03-11,5,0
2025-03-12,18,9
2025-03-14,24,18
2025-03-18,86,68
2025-03-26,35,22
2025-03-31,18,12
2025-04-03,119,99
2025-04-12,12,11
2025-04-28,18,15
2025-06-13,12,11
2024-10-03,44,34
2024-07-16,40,28
2024-06-03,25,23
2024-06-14,167,150
2024-07-01,29,21
2024-08-03,16,9
2024-05-21,38,33
2024-06-20,36,25
2024-05-02,31,24
2024-07-29,95,44
2024-08-19,70,17
2024-06-17,63,21
2024-07-03,45,18
2025-04-15,17,16
2024-05-06,32,26
2024-05-08,52,28
2024-05-24,21,15
2024-05-31,17,11
2024-06-16,14,10
2024-07-17,76,59
2024-11-07,65,52
2024-04-03,41,34
2024-04-18,82,67
2024-04-22,69,66
2024-04-25,27,21
2024-04-28,18,15
2024-08-13,37,25
2024-08-09,23,17
2024-07-10,19,12
2024-05-01,27,22
2024-05-09,66,55
2024-05-14,86,81
2024-05-22,27,23
2024-05-23,27,17
2024-06-04,28,23
2024-06-22,18,14
2024-06-24,26,16
2024-06-26,31,23
2024-07-02,24,14
2024-07-14,20,13
2024-07-23,57,19
2025-06-25,30,13
2024-06-12,30,23
2024-07-07,12,7
2025-06-27,13,12
2025-02-19,13,1
2025-03-22,13,7
2025-05-23,15,12
2024-10-09,52,39
2024-08-20,80,63
2025-02-20,19,5
2024-04-19,34,24
2024-08-21,28,22
2024-04-06,15,10
2024-04-11,39,34
2025-05-12,6,4
2024-04-16,30,20
2024-04-24,42,37
2024-09-06,42,20
2024-05-04,27,20
2024-05-05,24,19
2024-05-13,37,29
2024-05-15,28,22
2024-05-18,18,11
2024-05-30,25,17
2024-05-28,33,21
