date,mql_count
2024-04-03,1
2024-04-04,1
2024-04-09,1
2024-04-11,3
2024-04-12,2
2024-04-14,1
2024-04-16,2
2024-04-18,6
2024-04-19,1
2024-04-21,1
2024-04-22,1
2024-04-25,1
2024-04-28,1
2024-04-29,1
2024-04-30,1
2024-05-02,1
2024-05-03,1
2024-05-06,1
2024-05-07,3
2024-05-09,1
2024-05-10,2
2024-05-14,6
2024-05-15,4
2024-05-16,3
2024-05-19,2
2024-05-20,1
2024-05-21,3
2024-05-22,8
2024-05-23,2
2024-05-26,1
2024-05-28,3
2024-05-29,2
2024-05-31,3
2024-06-02,1
2024-06-04,1
2024-06-05,2
2024-06-06,2
2024-06-07,1
2024-06-10,1
2024-06-11,2
2024-06-12,1
2024-06-13,1
2024-06-17,1
2024-06-20,2
2024-06-21,1
2024-06-24,2
2024-06-25,3
2024-06-26,2
2024-06-27,1
2024-07-04,1
2024-07-05,2
2024-07-08,2
2024-07-10,1
2024-07-11,1
2024-07-14,1
2024-07-15,2
2024-07-18,2
2024-07-19,1
2024-07-25,1
2024-07-29,1
2024-07-30,1
2024-08-05,2
2024-08-06,3
2024-08-07,1
2024-08-08,2
2024-08-13,3
2024-08-15,1
2024-08-19,2
2024-08-20,2
2024-08-21,2
2024-08-22,1
2024-08-26,4
2024-08-29,1
2024-09-01,1
2024-09-02,2
2024-09-05,1
2024-09-11,2
2024-09-17,1
2024-09-18,1
2024-09-20,1
2024-09-24,1
2024-09-26,2
2024-09-30,1
2024-10-11,1
2024-10-14,1
2024-10-15,1
2024-10-20,1
2024-10-21,1
2024-10-22,1
2024-10-23,1
2024-10-28,1
2024-10-29,1
2024-10-30,6
2024-10-31,2
2024-11-07,1
2024-11-10,1
2024-11-12,1
2024-11-13,1
2024-11-14,1
2024-11-18,4
2024-11-20,1
2024-11-23,1
2024-11-27,1
2024-12-08,1
2024-12-19,1
2024-12-26,1
2024-12-27,1
2025-01-08,2
2025-01-09,1
2025-01-16,1
2025-01-21,1
2025-01-27,1
2025-01-28,1
2025-01-30,2
2025-02-04,1
2025-02-07,1
2025-02-10,1
2025-02-11,1
2025-02-16,1
2025-02-18,1
2025-02-20,1
2025-03-06,1
2025-03-10,2
2025-03-13,3
2025-03-19,1
2025-03-20,2
2025-04-03,2
2025-04-11,1
2025-04-13,1
2025-04-15,1
2025-04-17,1
2025-04-22,203
2025-04-24,1
2025-05-01,3
2025-05-05,1
2025-05-06,1
2025-05-15,1
2025-05-19,1
2025-05-23,1
2025-06-04,1
2025-06-10,2
2025-06-11,1
2025-06-19,1
