lead_mql_date,cnt_all,cnt_Linkendin,cnt_qualified,cnt_bdr,cnt_sales_sourced,cnt_pharios,cnt_DC360
2025-04-22,604,21,11,7,19,1,5
2024-07-12,75,38,0,0,0,0,0
2024-09-20,49,20,0,0,0,0,0
2024-05-27,61,38,0,0,0,0,0
2025-02-05,89,29,8,0,0,0,0
2025-02-17,29,0,7,0,0,0,0
2024-09-17,82,36,3,0,0,0,0
2024-04-01,64,33,0,0,1,0,0
2024-04-02,49,16,0,0,0,0,0
2024-04-04,56,21,0,0,0,0,0
2024-04-05,143,121,0,0,0,0,0
2024-04-07,31,13,0,0,0,0,0
2024-04-09,92,62,0,0,0,0,0
2024-04-10,72,31,0,0,1,0,0
2024-04-12,60,24,0,0,0,0,0
2024-04-14,30,13,0,0,0,0,0
2024-04-15,116,59,0,0,0,0,0
2024-04-17,50,24,0,0,0,0,0
2024-04-18,107,67,0,0,1,0,1
2024-04-19,56,24,0,0,0,0,0
2024-04-20,29,17,0,0,0,0,0
2024-04-21,29,13,0,0,0,0,0
2024-10-06,29,14,2,0,0,0,0
2024-04-27,27,14,0,0,0,0,0
2024-04-28,28,15,0,0,1,0,0
2024-04-29,58,26,0,0,0,0,0
2024-05-02,60,24,0,0,1,0,0
2024-05-06,65,26,0,0,0,0,0
2024-05-07,162,107,0,0,0,0,0
2024-05-08,84,28,0,0,1,0,0
2024-05-09,91,55,0,0,0,0,0
2024-05-10,47,20,0,0,0,0,0
2024-05-11,18,8,0,0,0,0,0
2024-05-13,68,29,0,0,0,0,0
2024-05-15,57,22,0,0,0,0,0
2024-05-16,94,52,0,0,0,0,0
2024-10-07,51,12,5,0,0,0,0
2024-05-17,50,24,0,0,0,0,0
2024-05-19,22,11,0,0,0,0,0
2024-05-20,96,64,0,0,0,0,0
2024-05-21,77,33,0,0,0,0,0
2024-05-24,36,15,0,0,0,0,0
2024-05-26,20,8,0,0,0,0,0
2024-05-28,67,21,0,0,0,0,0
2024-05-29,52,21,0,0,0,0,0
2024-05-30,49,17,0,0,0,0,0
2024-05-31,43,11,0,0,0,0,0
2024-06-02,25,15,0,0,0,0,0
2024-06-05,49,21,0,0,0,0,0
2024-06-06,56,23,0,0,0,0,0
2024-11-21,152,85,1,0,0,0,10
2024-06-10,38,12,0,0,0,0,0
2024-06-18,71,22,0,0,0,0,0
2024-06-19,98,57,0,0,1,0,0
2024-06-20,69,25,0,0,0,0,0
2024-06-22,22,14,0,0,0,0,0
2024-06-23,25,8,0,0,0,0,0
2024-06-25,108,59,0,0,0,0,0
2024-11-19,41,13,1,0,0,0,0
2024-07-04,27,13,0,0,0,0,0
2024-07-08,69,27,0,0,0,0,0
2024-07-09,184,116,0,0,0,0,0
