source_channel_vendor,lead_mql_date,cnt_cases
,2025-04-22,1482
Owned-Direct,2025-04-22,17
Drift,2024-06-20,3
Drift,2025-04-22,31
Internet Retailer,2025-04-22,5
Internet Retailer,2024-07-19,1
,2024-07-19,18
Fortune,2025-04-22,1
,2024-05-07,43
,2024-11-10,7
,2024-04-30,31
,2024-08-20,40
,2024-06-07,18
,2024-09-24,37
,2024-05-28,35
,2024-10-04,10
,2024-07-17,22
,2024-04-25,36
,2024-08-27,37
,2024-10-18,23
,2024-09-05,28
,2024-06-14,24
,2024-11-20,30
,2024-10-22,38
,2024-07-09,35
,2024-05-16,28
,2024-11-14,21
,2024-08-07,34
,2024-12-18,23
,2024-08-15,18
,2024-07-23,33
,2024-10-15,29
,2025-01-10,12
,2025-05-08,19
,2024-07-24,31
,2025-01-13,23
,2024-06-12,21
,2024-10-07,22
,2024-04-09,23
,2024-12-12,17
,2024-04-18,24
,2025-04-29,16
,2024-06-20,33
,2024-04-11,22
,2024-04-14,14
,2024-04-16,22
,2024-04-24,31
,2024-04-28,9
,2024-04-29,28
,2024-05-03,20
,2024-05-06,33
,2024-05-10,19
,2024-05-14,44
,2024-05-15,29
,2024-05-19,9
,2024-05-20,23
,2024-05-21,39
,2024-05-22,30
,2024-05-23,21
,2024-05-27,17
,2024-05-26,7
,2024-05-29,27
,2024-05-31,26
,2024-06-02,6
,2024-06-04,31
,2024-06-05,21
,2024-06-11,31
,2024-06-10,19
,2024-06-13,24
,2024-06-19,25
,2024-06-17,29
,2024-06-21,14
,2024-06-24,34
,2024-06-25,36
,2024-06-26,37
,2024-07-05,14
,2024-07-08,36
,2024-07-15,19
,2024-07-25,25
,2024-07-30,32
,2024-08-05,29
,2024-08-06,30
,2024-08-13,23
,2024-08-21,38
,2024-08-22,33
,2024-09-06,11
,2024-08-26,22
,2024-09-10,28
,2024-08-29,19
,2024-09-01,8
,2024-09-02,16
,2024-09-03,22
,2024-09-11,32
,2024-09-17,24
,2024-09-18,31
,2024-09-30,14
,2024-10-14,26
,2024-10-20,5
,2024-10-23,24
,2024-10-29,21
,2024-10-28,18
,2024-10-30,30
,2024-10-31,21
,2024-11-13,20
,2024-11-18,24
,2024-11-23,6
,2024-11-27,17
,2024-12-08,5
,2024-12-10,21
