Week,Account name,Customer ID,Currency code,Cost,Clicks,Impr.
2019-12-30,Impact Radius,278-804-3504,USD,5351.25,897,"14,287"
2019-12-30,SaaSquatch,440-735-6734,CAD,2394.37,501,"124,782"
2020-01-06,Impact Radius,278-804-3504,USD,9554.25,"1,603","26,982"
2020-01-06,SaaSquatch,440-735-6734,CAD,4317.91,555,"74,052"
2020-01-13,Impact Radius,278-804-3504,USD,8724.86,"1,318","20,015"
2020-01-13,SaaSquatch,440-735-6734,CAD,5132.55,606,"14,927"
2020-01-20,Impact Radius,278-804-3504,USD,7645.89,879,"11,696"
2020-01-20,SaaSquatch,440-735-6734,CAD,4383.15,555,"12,796"
2020-01-27,Impact Radius,278-804-3504,USD,2270.55,636,"7,946"
2020-01-27,SaaSquatch,440-735-6734,CAD,3757.32,519,"10,641"
2020-02-03,Impact Radius,278-804-3504,USD,4894.28,"1,038","14,494"
2020-02-03,SaaSquatch,440-735-6734,CAD,3155.85,445,"8,070"
2020-02-10,Impact Radius,278-804-3504,USD,5944.32,"1,156","16,343"
2020-02-10,SaaSquatch,440-735-6734,CAD,2857.58,406,"7,150"
2020-02-17,Impact Radius,278-804-3504,USD,3885.31,735,"11,003"
2020-02-17,SaaSquatch,440-735-6734,CAD,2657.62,380,"5,849"
2020-02-24,Impact Radius,278-804-3504,USD,3320.70,678,"9,392"
2020-02-24,SaaSquatch,440-735-6734,CAD,2759.09,404,"6,850"
2020-03-02,Impact Radius,278-804-3504,USD,4346.18,768,"11,018"
2020-03-02,SaaSquatch,440-735-6734,CAD,2381.33,367,"6,968"
2020-03-09,Impact Radius,278-804-3504,USD,4331.65,685,"9,945"
2020-03-09,SaaSquatch,440-735-6734,CAD,1991.67,315,"6,089"
2020-03-16,Impact Radius,278-804-3504,USD,4603.42,683,"9,776"
2020-03-16,SaaSquatch,440-735-6734,CAD,276.50,52,"1,171"
2020-03-23,Impact Radius,278-804-3504,USD,4821.32,831,"11,188"
2020-03-30,Impact Radius,278-804-3504,USD,6017.99,732,"11,255"
2020-04-06,Impact Radius,278-804-3504,USD,8070.00,"1,259","19,625"
2020-04-06,SaaSquatch,440-735-6734,CAD,786.42,123,"2,064"
2020-04-13,Impact Radius,278-804-3504,USD,4920.09,"1,306","16,273"
2020-04-13,SaaSquatch,440-735-6734,CAD,2585.31,362,"6,528"
2020-04-20,Impact Radius,278-804-3504,USD,4260.56,"1,284","16,119"
2020-04-20,SaaSquatch,440-735-6734,CAD,2345.23,327,"5,801"
2020-04-27,Impact Radius,278-804-3504,USD,3713.19,"1,087","13,511"
2020-04-27,SaaSquatch,440-735-6734,CAD,2555.66,378,"6,283"
2020-05-04,Impact Radius,278-804-3504,USD,6940.25,"1,542","21,946"
2020-05-04,SaaSquatch,440-735-6734,CAD,2250.72,342,"5,954"
2020-05-11,Impact Radius,278-804-3504,USD,4670.93,"1,510","21,015"
2020-05-11,SaaSquatch,440-735-6734,CAD,2252.68,331,"6,214"
2020-05-18,Impact Radius,278-804-3504,USD,3490.66,"1,184","14,025"
2020-05-18,SaaSquatch,440-735-6734,CAD,1123.50,182,"3,460"
2020-05-25,Impact Radius,278-804-3504,USD,3078.25,905,"10,628"
2020-05-25,SaaSquatch,440-735-6734,CAD,2171.49,326,"5,513"
2020-06-01,Impact Radius,278-804-3504,USD,3860.93,"1,138","15,221"
2020-06-01,SaaSquatch,440-735-6734,CAD,3011.14,433,"7,376"
2020-06-08,Impact Radius,278-804-3504,USD,3564.95,"1,159","15,306"
2020-06-08,SaaSquatch,440-735-6734,CAD,1610.90,234,"4,420"
2020-06-15,Impact Radius,278-804-3504,USD,3578.82,857,"14,001"
