Keyword,Currency,Avg. monthly searches,Three month change,YoY change,Competition,Competition (indexed value),Top of page bid (low range),Top of page bid (high range),Ad impression share,Organic impression share,Organic average position,In account?,In plan?,Searches: May 2021,Searches: Jun 2021,Searches: Jul 2021,Searches: Aug 2021,Searches: Sep 2021,Searches: Oct 2021,Searches: Nov 2021,Searches: Dec 2021,Searches: Jan 2022,Searches: Feb 2022,Searches: Mar 2022,Searches: Apr 2022,Searches: May 2022,Searches: Jun 2022,Searches: Jul 2022,Searches: Aug 2022,Searches: Sep 2022,Searches: Oct 2022,Searches: Nov 2022,Searches: Dec 2022,Searches: Jan 2023,Searches: Feb 2023,Searches: Mar 2023,Searches: Apr 2023,Searches: May 2023,Searches: Jun 2023,Searches: Jul 2023,Searches: Aug 2023,Searches: Sep 2023,Searches: Oct 2023,Searches: Nov 2023,Searches: Dec 2023,Searches: Jan 2024,Searches: Feb 2024,Searches: Mar 2024,Searches: Apr 2024,Searches: May 2024,Searches: Jun 2024,Searches: Jul 2024,Searches: Aug 2024,Searches: Sep 2024,Searches: Oct 2024,Searches: Nov 2024,Searches: Dec 2024,Searches: Jan 2025,Searches: Feb 2025,Searches: Mar 2025,Searches: Apr 2025
affiliate programs,USD,14800,22%,0%,Medium,58,1.16,6.23,8%,,,Y,,9900,9900,8100,8100,8100,8100,8100,8100,9900,9900,9900,9900,9900,12100,12100,12100,9900,9900,12100,14800,14800,12100,14800,18100,22200,22200,27100,22200,18100,18100,14800,18100,22200,18100,14800,14800,14800,14800,18100,14800,14800,12100,12100,12100,18100,12100,14800,14800
walmart affiliate program,USD,9900,22%,-18%,Low,24,0.86,1.06,,,,Y,,1300,1600,1300,1300,1300,1600,1600,1000,1600,1300,1600,1600,3600,4400,4400,5400,4400,6600,8100,6600,8100,6600,6600,6600,27100,74000,33100,33100,22200,18100,18100,14800,14800,12100,12100,12100,9900,12100,14800,9900,18100,14800,9900,8100,8100,8100,6600,9900
multi touch attribution,USD,1300,23%,23%,Medium,38,11.66,29.36,,,,Y,,1300,1300,1300,1300,1300,1300,1300,1000,1600,1600,1600,1600,1600,1600,1600,1900,1600,1600,1600,1000,1300,1600,1900,1300,1300,1300,1300,1300,1300,1300,1300,880,1000,1300,1300,1300,1600,1000,1000,1000,1000,1300,1300,1000,1300,1300,1600,1600
affiliate networks,USD,2900,-19%,52%,Low,21,3.53,18.28,13%,,,Y,,1900,1900,1900,1900,1900,1900,1900,1900,2400,2400,2400,2400,2400,2400,2400,2900,2400,2900,2400,2900,3600,2400,2900,2900,2900,2900,2900,2900,2900,2900,2900,2400,2900,2400,2900,2900,2900,3600,2400,1900,1900,2400,2400,2400,2900,5400,9900,4400
referral software,USD,320,50%,22%,Low,28,11.94,38.04,38%,,,Y,,260,260,260,260,260,260,260,320,320,320,390,320,320,320,320,390,260,320,260,260,320,260,320,260,320,210,170,210,210,260,260,260,260,390,390,320,390,320,260,260,260,260,320,260,320,260,390,390
referral program software,USD,590,39%,108%,Low,12,10.00,42.46,15%,,,Y,,480,480,390,480,390,390,320,390,480,390,480,590,480,390,390,590,390,480,390,390,390,390,480,480,590,390,390,2400,320,1300,480,390,590,590,590,480,480,480,480,590,590,590,2400,880,1600,720,880,1000
impact affiliate platform,USD,170,-56%,0%,Medium,47,11.47,64.27,100%,,,Y,,390,480,320,260,210,210,170,90,110,140,90,260,260,260,210,320,320,320,260,260,320,260,320,320,90,90,70,70,50,40,40,50,70,70,40,40,30,50,50,70,90,110,70,70,140,90,30,40
create a pie chart,USD,5400,83%,0%,Low,4,0.77,3.34,,,,,,5400,3600,3600,4400,5400,6600,6600,5400,5400,5400,5400,6600,5400,3600,3600,4400,5400,5400,6600,5400,5400,5400,6600,8100,5400,3600,3600,4400,5400,6600,8100,6600,6600,6600,8100,9900,6600,4400,4400,4400,6600,6600,6600,6600,5400,5400,6600,9900
marketing attribution,USD,1600,23%,23%,Low,28,9.02,34.88,< 1%,,,Y,,1600,1600,1300,1600,1600,1600,1600,1600,1900,2400,2400,1900,1900,1900,1600,2400,1900,1900,1900,1600,1900,1600,1600,1600,1600,880,880,1000,1000,1300,1000,1000,1300,1300,1600,1300,1300,1000,1300,1300,1300,1600,1600,1300,1600,1300,1600,1600
affiliate marketing platform,USD,1300,86%,514%,Low,8,4.61,24.09,5%,,,Y,,880,1000,1300,1600,720,720,590,480,720,720,590,590,480,720,590,720,590,720,720,590,880,590,720,720,720,880,720,720,1000,1900,720,880,1300,1000,880,880,880,880,1600,1300,1000,880,1300,1600,1900,2900,9900,5400
