,domain,ga4_sessions
0,app.impact.com,72590164.0
1,impact.com,5427104.0
2,demo.impact.com,2627165.0
3,partner.ebay.com,1948768.0
4,member-stage6.impactradius.net,1156195.0
5,partner.target.com,359581.0
6,creators.audibletrial.com,62703.0
7,member-stage5.impactradius.net,40112.0
8,ebay.app.impact.com,34256.0
9,go.impact.com,25359.0
10,get.impact.com,25270.0
11,localhost,18500.0
12,member-data-3.gcp.srv-stage-impact.net,14266.0
13,member-lc-1.gcp.srv-stage-impact.net,9000.0
14,member-pap-1.gcp.srv-stage-impact.net,8053.0
15,member-stage7.impactradius.net,7237.0
16,member-stage24.impactradius.net,6919.0
17,www.app.impact.com,5162.0
18,member-stage19.impactradius.net,4930.0
19,member-stage0.impactradius.net,4342.0
20,member-stage13.impactradius.net,4297.0
21,member-ft-2.gcp.srv-stage-impact.net,3903.0
22,member-stage31.impactradius.net,3257.0
23,member-data-2.gcp.srv-stage-impact.net,2648.0
24,member-stage22.impactradius.net,2501.0
25,member-stage27.impactradius.net,2346.0
26,member-ps-2.gcp.srv-stage-impact.net,2146.0
27,join.impact.com,1635.0
28,member-io-1.gcp.srv-stage-impact.net,1608.0
29,member-stage28.impactradius.net,1119.0
30,affiliate.zalora.com,1069.0
31,member-ft-3.gcp.srv-stage-impact.net,1014.0
32,member-ps-1.gcp.srv-stage-impact.net,886.0
33,affiliates.hotwire.com,838.0
34,member-lc-2.gcp.srv-stage-impact.net,796.0
35,member-stage21.impactradius.net,795.0
36,member-stage3.impactradius.net,717.0
37,member-pa-3.gcp.srv-stage-impact.net,699.0
38,member-stage15.impactradius.net,635.0
39,member-pap-2.gcp.srv-stage-impact.net,627.0
40,member-stage12.impactradius.net,476.0
41,awww.app.impact.com,359.0
42,cdn1.impact.com,359.0
43,sow-tasks.local,319.0
44,partner.sandbox.ebay.com,304.0
45,affiliate.fastspring.com,302.0
46,member-ppx-2.gcp.srv-stage-impact.net,278.0
47,member-stage18.impactradius.net,265.0
48,member-drgd-1.gcp.srv-stage-impact.net,238.0
49,member-data-1.gcp.srv-stage-impact.net,222.0
50,app.stage-impact.com,221.0
51,member-stage25.impactradius.net,199.0
52,member-stage16.impactradius.net,199.0
53,member-pap-3.gcp.srv-stage-impact.net,193.0
54,ui.impact.com,193.0
55,partners.novica.com,193.0
56,gtm-msr.appspot.com,160.0
57,cdn4.impact.com,154.0
58,member-ft-4.gcp.srv-stage-impact.net,148.0
59,member-ft-1.gcp.srv-stage-impact.net,148.0
60,member.impactradius.com,148.0
61,member-stage8.impactradius.net,119.0
62,partner-ebay.sandbox-impact.com,119.0
63,member-lc-3.gcp.srv-stage-impact.net,111.0
64,www.apdperformance.com.au,80.0
65,advertisingisover.com,80.0
66,www.thepartnershipbook.com,80.0
67,stage.impactradius-go.com,74.0
68,member-stage4.impactradius.net,74.0
