,ga4_page_path,ga4_sessions,path_split,domain,domainsub1,domainsub2,domainsub3,domainsub4
2,https://impact.com/,3572169.0,"['https:', '', 'impact.com', '']",impact.com,,,,
32,https://impact.com/affiliate-marketing/,282847.0,"['https:', '', 'impact.com', 'affiliate-marketing', '']",impact.com,affiliate-marketing,,,
35,https://impact.com/partners/affiliate-partners/,271983.0,"['https:', '', 'impact.com', 'partners', 'affiliate-partners', '']",impact.com,partners,affiliate-partners,,
69,https://impact.com/request-a-demo-for-brands/,158842.0,"['https:', '', 'impact.com', 'request-a-demo-for-brands', '']",impact.com,request-a-demo-for-brands,,,
81,https://impact.com/partners/,116388.0,"['https:', '', 'impact.com', 'partners', '']",impact.com,partners,,,
85,https://impact.com/integrated-platform-prices/,111207.0,"['https:', '', 'impact.com', 'integrated-platform-prices', '']",impact.com,integrated-platform-prices,,,
107,https://impact.com/get-started/,91703.0,"['https:', '', 'impact.com', 'get-started', '']",impact.com,get-started,,,
151,https://impact.com/about/,61624.0,"['https:', '', 'impact.com', 'about', '']",impact.com,about,,,
155,https://impact.com/careers/,60333.0,"['https:', '', 'impact.com', 'careers', '']",impact.com,careers,,,
161,https://impact.com/contact/,58083.0,"['https:', '', 'impact.com', 'contact', '']",impact.com,contact,,,
188,https://impact.com/partnership-management-platform/,48539.0,"['https:', '', 'impact.com', 'partnership-management-platform', '']",impact.com,partnership-management-platform,,,
212,https://impact.com/partners/influencer-partners/,40270.0,"['https:', '', 'impact.com', 'partners', 'influencer-partners', '']",impact.com,partners,influencer-partners,,
227,https://impact.com/influencer/how-much-do-influencers-charge-per-post/,37418.0,"['https:', '', 'impact.com', 'influencer', 'how-much-do-influencers-charge-per-post', '']",impact.com,influencer,how-much-do-influencers-charge-per-post,,
228,https://impact.com/influencer-marketing/,37181.0,"['https:', '', 'impact.com', 'influencer-marketing', '']",impact.com,influencer-marketing,,,
253,https://impact.com/creator/,32181.0,"['https:', '', 'impact.com', 'creator', '']",impact.com,creator,,,
314,https://impact.com/referral-partner-program/,23331.0,"['https:', '', 'impact.com', 'referral-partner-program', '']",impact.com,referral-partner-program,,,
332,https://impact.com/privacy-policy/,21479.0,"['https:', '', 'impact.com', 'privacy-policy', '']",impact.com,privacy-policy,,,
338,https://impact.com/partnerships-experience/,21091.0,"['https:', '', 'impact.com', 'partnerships-experience', '']",impact.com,partnerships-experience,,,
400,https://impact.com/agency-partner-program/,16950.0,"['https:', '', 'impact.com', 'agency-partner-program', '']",impact.com,agency-partner-program,,,
427,https://impact.com/insights/,15398.0,"['https:', '', 'impact.com', 'insights', '']",impact.com,insights,,,
474,https://impact.com/careers/cape-town-jobs/,13303.0,"['https:', '', 'impact.com', 'careers', 'cape-town-jobs', '']",impact.com,careers,cape-town-jobs,,
514,https://impact.com/contact/support/,12134.0,"['https:', '', 'impact.com', 'contact', 'support', '']",impact.com,contact,support,,
543,https://impact.com/advocate/,11188.0,"['https:', '', 'impact.com', 'advocate', '']",impact.com,advocate,,,
734,https://impact.com/blog/,7067.0,"['https:', '', 'impact.com', 'blog', '']",impact.com,blog,,,
737,https://impact.com/request-a-demo-thank-you/,7029.0,"['https:', '', 'impact.com', 'request-a-demo-thank-you', '']",impact.com,request-a-demo-thank-you,,,
786,https://impact.com/partners/publishers-media-groups-partners/,6451.0,"['https:', '', 'impact.com', 'partners', 'publishers-media-groups-partners', '']",impact.com,partners,publishers-media-groups-partners,,
793,https://impact.com/discover-recruit/,6385.0,"['https:', '', 'impact.com', 'discover-recruit', '']",impact.com,discover-recruit,,,
795,https://impact.com/fr/,6367.0,"['https:', '', 'impact.com', 'fr', '']",impact.com,fr,,,
830,https://impact.com/saas-partnership-marketing/,5839.0,"['https:', '', 'impact.com', 'saas-partnership-marketing', '']",impact.com,saas-partnership-marketing,,,
