,model_week,date,iso_week,iso_year,ga4_sessions,podcast_streams,linkedin_spend,linkedin_impressions,linkedin_clicks,gSearch_sessions,gSearch_impressions,gift_spend,email_opened_cnt,direct_spend,fb_spend,fb_impressions,fb_clicks,googleAds_spend,googleAds_impressions,event_spend,mql_count,impactDotCom_ga4_sessions,month,daily_avg_queries,averageMQL,smoothed_MQL
0,202415,2024-04-11,15,2024,209194.0,332.0,11063.500000000002,186008,1265,1324.0,32644.0,0.0,0.0,9000.0,2169.57,112790.0,460.0,6448.16,9873.0,0.0,61,5091.0,4,24779.0,,61.0
1,202415,2024-04-12,15,2024,167947.0,227.0,10985.4,167930,1187,1127.0,29793.0,498.86,0.0,0.0,2189.92,107564.0,472.0,4544.18,7438.0,0.0,60,4936.0,4,24779.0,41.0,60.0
2,202415,2024-04-13,15,2024,76022.0,186.0,8826.290000000003,124526,930,504.0,21040.0,0.0,0.0,0.0,2140.8799999999997,97362.0,468.0,1676.13,8682.0,0.0,21,2708.0,4,24779.0,45.0,21.0
3,202415,2024-04-14,15,2024,93371.0,120.0,7257.839999999997,111431,844,519.0,23214.0,0.0,0.0,0.0,2404.75,112847.0,570.0,2054.01,4673.0,0.0,30,2665.0,4,24779.0,68.5,30.0
4,202416,2024-04-15,16,2024,219057.0,182.0,10275.429999999998,159627,1160,1133.0,32072.0,339.42,0.0,0.0,2307.37,120812.0,464.0,5510.42,8131.0,0.0,116,7681.0,4,24779.0,41.0,116.0
5,202416,2024-04-16,16,2024,224572.0,151.0,10460.65,168669,1158,1210.0,31353.0,423.66,0.0,0.0,2164.09,105145.0,504.0,5447.02,8470.0,25720.0,52,5054.0,4,24779.0,83.0,52.0
6,202416,2024-04-17,16,2024,222164.0,156.0,9972.180000000002,173911,1172,1234.0,31130.0,0.0,54.0,0.0,2171.6499999999996,98961.0,481.0,6137.32,8890.0,0.0,50,5929.0,4,24779.0,80.0,50.0
7,202416,2024-04-18,16,2024,207431.0,113.0,10352.859999999988,193165,1161,1143.0,31232.0,500.0,0.0,0.0,2154.41,92106.0,457.0,5834.61,8319.0,0.0,108,4937.0,4,24779.0,53.0,108.0
8,202416,2024-04-19,16,2024,166460.0,117.0,12439.649999999996,203916,1249,1033.0,31283.0,561.38,0.0,0.0,2157.61,100017.0,462.0,5161.21,6976.0,0.0,56,3741.0,4,24779.0,68.5,56.0
9,202416,2024-04-20,16,2024,90869.0,60.0,10756.73,158021,1111,493.0,22212.0,0.0,0.0,0.0,2109.1000000000004,91319.0,544.0,2361.58,4455.0,0.0,29,2625.0,4,24779.0,42.5,29.0
10,202416,2024-04-21,16,2024,110282.0,82.0,9916.260000000004,148204,1081,581.0,24238.0,0.0,0.0,0.0,2371.6,121924.0,528.0,3073.5,5359.0,0.0,29,3142.0,4,24779.0,61.0,29.0
11,202417,2024-04-22,17,2024,210024.0,126.0,11792.610000000006,194998,1253,1277.0,49181.0,350.0,4936.0,0.0,2450.5699999999997,154250.0,572.0,6842.19,9802.0,0.0,93,5969.0,4,24779.0,41.5,93.0
12,202417,2024-04-23,17,2024,220930.0,1438.0,13799.49000000001,218530,1372,1351.0,37246.0,199.26,0.0,0.0,2635.1499999999996,188116.0,607.0,7004.26,10119.0,0.0,54,5887.0,4,24779.0,83.0,54.0
13,202417,2024-04-24,17,2024,242645.0,524.0,14647.420000000002,204026,1237,1301.0,39948.0,576.52,0.0,0.0,2790.64,99789.0,573.0,5807.69,9453.0,0.0,73,6289.0,4,24779.0,59.5,73.0
14,202417,2024-04-25,17,2024,210423.0,305.0,14790.409999999996,192045,1206,1213.0,35547.0,224.46,0.0,0.0,2758.2000000000003,94041.0,537.0,5677.35,8892.0,0.0,65,6048.0,4,24779.0,55.0,65.0
15,202417,2024-04-26,17,2024,163772.0,217.0,14519.940000000008,179825,1167,975.0,35050.0,0.0,0.0,0.0,2821.5500000000006,126962.0,597.0,4983.79,7948.0,0.0,37,4816.0,4,24779.0,46.0,37.0
16,202417,2024-04-27,17,2024,86488.0,154.0,11237.920000000002,131836,934,519.0,28113.0,0.0,0.0,0.0,2835.43,118898.0,579.0,2381.43,5613.0,0.0,27,3622.0,4,24779.0,32.5,27.0
17,202417,2024-04-28,17,2024,99295.0,101.0,9824.439999999997,122683,900,601.0,24839.0,0.0,0.0,0.0,3177.7700000000004,141294.0,721.0,2912.87,6090.0,0.0,28,6766.0,4,24779.0,42.5,28.0
18,202418,2024-04-29,18,2024,203805.0,253.0,13157.250000000002,184884,1086,1329.0,34983.0,0.0,5379.0,0.0,3058.399999999999,131765.0,690.0,6723.12,9920.0,0.0,58,6010.0,4,24779.0,69.0,58.0
19,202418,2024-04-30,18,2024,201488.0,192.0,14322.33,185968,1186,1358.0,34627.0,0.0,0.0,0.0,3061.55,103233.0,727.0,7081.03,10943.0,0.0,110,5213.0,4,24779.0,57.5,110.0
20,202418,2024-05-01,18,2024,187278.0,149.0,14304.94999999999,199936,1238,1199.0,34292.0,0.0,0.0,47087.0,2937.32,90512.0,728.0,8034.96,10864.0,0.0,57,4341.0,5,20084.0,85.0,57.0
21,202418,2024-05-02,18,2024,193436.0,180.0,14394.150000000009,170920,1163,1184.0,36945.0,250.0,0.0,15000.0,2899.6899999999996,91628.0,735.0,7081.2,9671.0,0.0,60,9070.0,5,20084.0,48.5,60.0
22,202418,2024-05-03,18,2024,153748.0,144.0,14429.540000000005,183963,1173,1006.0,35458.0,25.12,842.0,0.0,2835.0,101188.0,696.0,5427.2,7495.0,0.0,40,4422.0,5,20084.0,48.5,40.0
23,202418,2024-05-04,18,2024,83694.0,85.0,12565.429999999991,135511,1043,496.0,33661.0,0.0,0.0,0.0,2670.4,139315.0,769.0,3292.12,5088.0,0.0,37,3421.0,5,20084.0,39.5,37.0
24,202418,2024-05-05,18,2024,104783.0,74.0,10269.050000000016,136991,976,537.0,27299.0,0.0,0.0,0.0,3133.619999999999,161147.0,804.0,2787.83,5247.0,0.0,39,5054.0,5,20084.0,51.0,39.0
25,202419,2024-05-06,19,2024,210221.0,123.0,14265.17,192519,1187,1229.0,39583.0,25.0,207.0,0.0,3100.3300000000004,167056.0,842.0,7014.76,9216.0,0.0,65,5334.0,5,20084.0,100.5,65.0
26,202419,2024-05-07,19,2024,231972.0,1605.0,14443.49,180581,1197,1259.0,40527.0,250.14,0.0,0.0,2986.76,209224.0,849.0,7523.79,9978.0,0.0,162,6128.0,5,20084.0,75.0,75.0
27,202419,2024-05-08,19,2024,242263.0,499.0,14448.279999999995,183731,1141,1300.0,34739.0,123.17,0.0,0.0,2956.35,201448.0,810.0,7407.86,10015.0,17744.0,85,6568.0,5,20084.0,126.5,85.0
28,202419,2024-05-09,19,2024,212878.0,239.0,14596.02,171866,1131,1210.0,34708.0,275.0,0.0,0.0,2935.61,149464.0,729.0,7066.65,9526.0,0.0,91,6084.0,5,20084.0,66.0,91.0
29,202419,2024-05-10,19,2024,166243.0,198.0,13999.05999999998,191497,1178,984.0,33011.0,175.0,0.0,0.0,2862.74,229049.0,760.0,5251.13,7614.0,0.0,47,3621.0,5,20084.0,54.5,47.0
30,202419,2024-05-11,19,2024,92642.0,196.0,11678.630000000005,136274,1003,462.0,23177.0,0.0,0.0,0.0,2828.5,203111.0,874.0,2532.49,5001.0,0.0,18,2985.0,5,20084.0,32.5,18.0
31,202419,2024-05-12,19,2024,105230.0,140.0,9241.719999999996,125323,905,458.0,27072.0,0.0,0.0,0.0,3313.04,184058.0,836.0,2496.88,5045.0,0.0,18,2189.0,5,20084.0,43.0,18.0
32,202420,2024-05-13,20,2024,241903.0,136.0,12905.490000000009,178712,1099,1289.0,34348.0,274.98,0.0,0.0,3226.82,242260.0,860.0,7429.83,10413.0,0.0,68,6207.0,5,20084.0,74.5,68.0
33,202420,2024-05-14,20,2024,251668.0,135.0,13931.03,184076,1156,1268.0,35901.0,136.66,11904.0,0.0,3093.46,195740.0,780.0,7147.3,10916.0,0.0,131,5369.0,5,20084.0,62.5,62.5
34,202420,2024-05-15,20,2024,256207.0,162.0,11214.13,147762,940,1199.0,36633.0,100.0,0.0,0.0,3027.5900000000006,196586.0,811.0,7745.72,10656.0,0.0,57,4897.0,5,20084.0,113.0,57.0
35,202420,2024-05-16,20,2024,270031.0,520.0,11775.169999999998,157711,954,1199.0,36365.0,223.75,81.0,0.0,2988.3400000000006,193770.0,739.0,7219.42,10036.0,0.0,95,5095.0,5,20084.0,53.5,95.0
36,202420,2024-05-17,20,2024,210655.0,1166.0,10544.669999999998,137318,879,946.0,33723.0,466.65,0.0,7950.0,2981.1800000000003,222058.0,794.0,5588.89,8129.0,0.0,50,4417.0,5,20084.0,59.5,50.0
37,202420,2024-05-18,20,2024,99286.0,1246.0,8978.800000000005,107142,781,498.0,22234.0,0.0,0.0,0.0,2868.9999999999995,335414.0,911.0,3034.08,5538.0,0.0,24,4777.0,5,20084.0,36.0,24.0
38,202420,2024-05-19,20,2024,122883.0,865.0,8424.509999999995,105311,738,496.0,25716.0,0.0,0.0,0.0,3164.87,654480.0,1432.0,3151.39,5626.0,0.0,22,4379.0,5,20084.0,60.0,22.0
39,202421,2024-05-20,21,2024,249970.0,1706.0,10285.309999999994,132503,893,1226.0,37884.0,202.5,5313.0,0.0,3141.0899999999997,541492.0,1164.0,7451.8,10181.0,0.0,96,5251.0,5,20084.0,49.5,96.0
40,202421,2024-05-21,21,2024,289179.0,3996.0,10778.040000000006,142379,917,1245.0,38563.0,580.03,0.0,0.0,3081.05,375497.0,1135.0,7812.33,9918.0,0.0,77,5372.0,5,20084.0,76.5,77.0
41,202421,2024-05-22,21,2024,276388.0,2149.0,10990.100000000006,139025,934,1260.0,34917.0,425.0,285.0,0.0,3057.8799999999997,364999.0,1097.0,6395.05,9721.0,0.0,57,6923.0,5,20084.0,62.5,57.0
42,202421,2024-05-23,21,2024,277188.0,1257.0,11382.670000000006,133993,920,1248.0,33825.0,400.0,0.0,0.0,3054.08,262138.0,1021.0,5516.53,8600.0,0.0,48,5332.0,5,20084.0,46.5,48.0
43,202421,2024-05-24,21,2024,214821.0,1129.0,10191.599999999997,117848,804,907.0,30779.0,150.0,0.0,0.0,2954.49,183104.0,885.0,4375.24,7458.0,0.0,36,3223.0,5,20084.0,32.0,36.0
44,202421,2024-05-25,21,2024,113679.0,1204.0,8118.399999999997,104266,736,520.0,25235.0,0.0,0.0,0.0,2925.8899999999994,266040.0,1108.0,2242.16,4844.0,0.0,16,3105.0,5,20084.0,28.0,16.0
45,202421,2024-05-26,21,2024,130222.0,1133.0,8402.769999999993,106183,792,517.0,23938.0,0.0,0.0,0.0,3238.2900000000004,262815.0,1078.0,2327.61,4512.0,0.0,20,4097.0,5,20084.0,38.5,20.0
